# timestamp tx ty tz qx qy qz qw
1.546321735232814074e+09 2.752051994187483253e+00 -7.810253351856132342e-01 1.936346701755972788e+00 9.975410180740531541e-01 -2.378189385113117435e-02 -6.444887646890543054e-02 1.388096201748499625e-02
1.546321735532922983e+09 2.637421914724340066e+00 -7.091716750111806133e-01 1.843035656072950390e+00 9.975880282483035044e-01 -1.950368658115566103e-02 -5.962364947170070012e-02 2.971115159467265648e-02
1.546321735832933903e+09 2.525409043043701729e+00 -6.311200046188506496e-01 1.761518779475825136e+00 9.978641622876831541e-01 -9.919551062980196121e-03 -4.988107113211287524e-02 4.099505910865942210e-02
1.546321736232686996e+09 2.336600152448833789e+00 -4.796232840018982979e-01 1.659285044911826157e+00 9.981068805165721480e-01 -1.644526542338335326e-02 -5.269026746848291809e-02 2.712828827499727882e-02
1.546321736533109903e+09 2.189521682240083145e+00 -3.582930040817476347e-01 1.585889610567142061e+00 9.975142392165323724e-01 -6.058055749007929675e-02 -2.979679371910011129e-02 2.018637408043171336e-02
1.546321736932456017e+09 2.034407208834385639e+00 -2.346724878090721278e-01 1.520925681775984639e+00 9.963698104626032004e-01 -8.226156355812558330e-02 1.753658863480111584e-03 2.184400696482537152e-02
1.546321737233007908e+09 1.928603764582408120e+00 -1.722039958435581941e-01 1.496863724611618984e+00 9.969119872347184108e-01 -7.486165693912458230e-02 9.693152683335039613e-03 2.163942742104988173e-02
1.546321737632950068e+09 1.767098880513482850e+00 -1.313353242626598139e-01 1.488189801119951250e+00 9.974904037153383696e-01 -6.745123191014218422e-02 1.922510391833920362e-02 9.675804304800394648e-03
1.546321737933365107e+09 1.607132121276432013e+00 -1.378918761395898640e-01 1.534493070511373958e+00 9.971027180888617503e-01 -7.499511630044618238e-02 9.601226282126489736e-03 8.349764353920466689e-03
1.546321738332425117e+09 1.381076199047518438e+00 -2.112405905030437792e-01 1.659940870347485831e+00 9.947715229511142621e-01 -8.659060459281918420e-02 -5.805000779923486301e-03 5.383294797534188963e-02
1.546321738732672930e+09 1.203647175176224327e+00 -2.616639565476066576e-01 1.751058301475368006e+00 9.932593795845433560e-01 -8.626339987806945497e-02 -6.046746546243611520e-03 7.718722410483290497e-02
1.546321739132503986e+09 1.072009505835109344e+00 -2.627384147812902304e-01 1.742541216385092850e+00 9.941361582402107322e-01 -8.423424418720218410e-02 -2.502471976204753788e-03 6.776155709260094084e-02
1.546321739532624960e+09 9.755856074832259806e-01 -2.409668264696687712e-01 1.659310849535616139e+00 9.928259353955394273e-01 -9.163290669225013230e-02 -8.364470898541795374e-03 7.635514418615689525e-02
1.546321739832958937e+09 9.464537160362299639e-01 -1.962891714888124473e-01 1.531817953392127230e+00 9.953951896983611602e-01 -8.397471154171827490e-02 1.426673216651247879e-04 4.622384441913309633e-02
1.546321740232764006e+09 9.220659027058137891e-01 -1.535242405973367419e-01 1.379822311657599165e+00 9.965294260070322041e-01 -8.319304309569157396e-02 1.837655719384544443e-03 -2.154925527801276018e-03
1.546321740532789946e+09 9.055432781852191804e-01 -2.207316348308667742e-01 1.322969801427251735e+00 9.975147651421061301e-01 -6.031333145155277908e-02 2.193137368527169062e-02 2.907937793318403005e-02
1.546321740832961082e+09 8.354723698001459420e-01 -2.839262920015891978e-01 1.293567697582446163e+00 9.975513223468618351e-01 -5.861927045605803965e-02 2.281672103524895814e-02 3.057020864218135472e-02
1.546321741232444048e+09 6.595599922112594937e-01 -3.572130924843954780e-01 1.309222912299275343e+00 9.967521755287682694e-01 -7.272673294306396252e-02 1.063009007047061548e-02 3.290781182621468903e-02
1.546321741533118963e+09 5.035832278184193544e-01 -4.161236565919816943e-01 1.350872376675695152e+00 9.967158043116857158e-01 -7.436578686333870924e-02 7.738067750061671142e-03 3.110397863620656053e-02
