Project; example-run-001_20230517T1827
Agisoft Metashape Professional Version; 2.0.0
Processing started; 20230517T1827
Node; dev-07-derek-9-image-david
CPU; x86_64
Number of GPUs Found; 1
GPU Model; GRID A100X-40C
GPU Mask; 4294967295
Align Photos; 12450.1
Build Depth Maps; 837.3
Classify Ground Points; 480.2
Build Point Cloud; 2703.7
Build DEM; 473.3
Build Orthomosaic; 6357.0
