# timestamp tx ty tz qx qy qz qw
1.546320761032409906e+09 -3.427398024203940352e+00 1.141909179908433991e+01 -2.729597334095407746e+01 -3.694478158785860500e-01 -5.527718722217765945e-01 7.295786928048908493e-01 -1.602076765579015238e-01
1.546320761132664919e+09 -3.470571060992817092e+00 1.143266464281567707e+01 -2.723973145627475745e+01 -3.766239095644249857e-01 -5.503504195095323404e-01 7.272749940128669932e-01 -1.622958088604687654e-01
1.546320761332715988e+09 -3.558762134292927648e+00 1.145871687401948691e+01 -2.712457859780215230e+01 -3.877831757119609701e-01 -5.476275742323742923e-01 7.225151624100130121e-01 -1.664334361321195277e-01
1.546320761433028936e+09 -3.603832769253972668e+00 1.146933930129373636e+01 -2.706719154481126921e+01 -3.922820011388933326e-01 -5.478469728079744527e-01 7.194489678258065846e-01 -1.684390354460195416e-01
1.546320761632531881e+09 -3.697317749129026332e+00 1.148507144547239278e+01 -2.695127903851617290e+01 -3.975467002114185244e-01 -5.495332092289979542e-01 7.145512324233036505e-01 -1.714246462671835392e-01
1.546320761733128071e+09 -3.746774208147578111e+00 1.148778467606443421e+01 -2.689274397117144488e+01 -3.979392387254770957e-01 -5.489554720326803583e-01 7.146423076750961778e-01 -1.719843716410823786e-01
1.546320761932945967e+09 -3.848851704097879800e+00 1.146754211237081833e+01 -2.678342285960877689e+01 -3.985462209588669924e-01 -5.467384765111724665e-01 7.166385030408878309e-01 -1.693139215214251869e-01
1.546320762132858992e+09 -3.951594665703571430e+00 1.141010920288712960e+01 -2.668635486484525288e+01 -3.997362025756048265e-01 -5.417603305477208808e-01 7.206621141171297706e-01 -1.653869096134522043e-01
1.546320762332788944e+09 -4.053917485039723267e+00 1.133458602641548296e+01 -2.659742567174650674e+01 -4.021076230838005472e-01 -5.374728051648292038e-01 7.240703162246098223e-01 -1.586020817282650652e-01
1.546320762532370090e+09 -4.155651155968627997e+00 1.125663364769049224e+01 -2.650820576751155144e+01 -4.172445893369193803e-01 -5.280085652585049250e-01 7.233440252754290700e-01 -1.545552612532497261e-01
1.546320762632688046e+09 -4.204767981755930251e+00 1.121936457266706455e+01 -2.646320890739480092e+01 -4.296065284706392928e-01 -5.203108642459077782e-01 7.218013728384892191e-01 -1.540052382601146408e-01
1.546320762832552910e+09 -4.289495086948706515e+00 1.115481922246585000e+01 -2.637762786120797287e+01 -4.517660157650989494e-01 -5.089683112169398616e-01 7.159897301885933540e-01 -1.556195085494418706e-01
1.546320763032557964e+09 -4.350222173963332217e+00 1.109989546340011657e+01 -2.630393119585950856e+01 -4.645410949442600468e-01 -5.074439744182454026e-01 7.073282238383752363e-01 -1.624468149772481107e-01
1.546320763132838011e+09 -4.373681273874671760e+00 1.107371415973317674e+01 -2.627269199195905358e+01 -4.674287314391957771e-01 -5.091009482639649031e-01 7.039254236888786709e-01 -1.637547049287699230e-01
1.546320763333245993e+09 -4.410354696956685139e+00 1.102831568127056627e+01 -2.621510808126287984e+01 -4.677125953514684187e-01 -5.126542934510645022e-01 7.008510521589518261e-01 -1.650403170242761564e-01
1.546320763532610893e+09 -4.436482352836378595e+00 1.098554993239744704e+01 -2.616633087557725901e+01 -4.663872956434110262e-01 -5.215320775492418015e-01 6.952831497787541615e-01 -1.645251475712204703e-01
1.546320763632668972e+09 -4.448046367607498830e+00 1.096494362367747577e+01 -2.614152530700534172e+01 -4.659827163778159642e-01 -5.244612232159548970e-01 6.935062750210561067e-01 -1.638584141458580834e-01
1.546320763832706928e+09 -4.469994077891043638e+00 1.092399549830296834e+01 -2.608882599784350376e+01 -4.663896581078212922e-01 -5.275168878698115460e-01 6.921133293627222960e-01 -1.587002178343377423e-01
1.546320764033010960e+09 -4.484920352861461623e+00 1.088273843736630653e+01 -2.602700518487078085e+01 -4.665281769125322331e-01 -5.272532276118792050e-01 6.924346344938204778e-01 -1.577649234555456859e-01
1.546320764232927084e+09 -4.491826909325577155e+00 1.083859435572061791e+01 -2.595843247773283125e+01 -4.665089233757551690e-01 -5.253970621783858874e-01 6.935171466410763319e-01 -1.592523744875874447e-01
1.546320764433022022e+09 -4.491750036122324374e+00 1.079698192972448823e+01 -2.588334585188740533e+01 -4.663975472707862502e-01 -5.228741413030617569e-01 6.947544711119426619e-01 -1.624567177015020236e-01
1.546320764632790089e+09 -4.488170583178491491e+00 1.077723696765809791e+01 -2.579733563565070753e+01 -4.655956669568618311e-01 -5.224379517585586719e-01 6.947813626285379573e-01 -1.660063842668376699e-01
1.546320764732816935e+09 -4.485034553716634065e+00 1.077127454335023593e+01 -2.575268110563912316e+01 -4.650164693689888828e-01 -5.228761878266823260e-01 6.943706198564845167e-01 -1.679571900799656237e-01
