# timestamp tx ty tz qx qy qz qw
1.546319538228458881e+09 1.691660810785241775e+00 -2.806407259638902119e+01 -4.279457619380646349e+01 9.845788569419460234e-01 -9.254099816493970010e-02 6.716227682258071874e-02 -1.324004029205900490e-01
1.546319538328922987e+09 1.691501273097176572e+00 -2.806391242970963873e+01 -4.279466283299451845e+01 9.845181207272628576e-01 -9.241273178241321551e-02 6.728850171255297552e-02 -1.328766890822100089e-01
1.546319538528666019e+09 1.692138643025349110e+00 -2.806320607500256514e+01 -4.279355625069853630e+01 9.843902992444061306e-01 -9.405503477669678591e-02 6.425568986259617976e-02 -1.341662979549811952e-01
1.546319538628714085e+09 1.692636046512177250e+00 -2.806318800086946297e+01 -4.279279053680568268e+01 9.844221741788803381e-01 -9.463675053487717592e-02 6.238859342013442638e-02 -1.344043594686668563e-01
1.546319538728836060e+09 1.692734245626279943e+00 -2.806315873237935676e+01 -4.279244917078228383e+01 9.843965611108241864e-01 -9.514671904488423981e-02 6.185622448898441678e-02 -1.344779529147646091e-01
1.546319538928910017e+09 1.691753349277268059e+00 -2.806244994229097500e+01 -4.279215342725850491e+01 9.843888976743320196e-01 -9.413374502100826935e-02 6.276960839527102876e-02 -1.348232637408593171e-01
1.546319539128757000e+09 1.688571258912498596e+00 -2.805137041522194963e+01 -4.279344994264622670e+01 9.840233922405799971e-01 -9.456371748621889006e-02 6.055872425367309075e-02 -1.381604421507685032e-01
1.546319539229218960e+09 1.684148362013986100e+00 -2.803673498959660648e+01 -4.279365479358460078e+01 9.840273758417216188e-01 -9.540054980138412688e-02 5.703969992390947596e-02 -1.390515419700159572e-01
1.546319539429342031e+09 1.674600510237186368e+00 -2.796771344486587907e+01 -4.277738482440273060e+01 9.817205649661893130e-01 -9.748412975872389197e-02 5.186547524460192321e-02 -1.550211251581595506e-01
1.546319539628758907e+09 1.664005278952372713e+00 -2.786447652663293795e+01 -4.273742424770568249e+01 9.775775252736857990e-01 -1.035755616024967851e-01 4.372345979151703171e-02 -1.780520827801889694e-01
1.546319539829459906e+09 1.659795273817688432e+00 -2.776069187964015583e+01 -4.267507878413822908e+01 9.759180279265776692e-01 -1.074353115279629706e-01 3.893441161639495107e-02 -1.858111089167545360e-01
1.546319540028501034e+09 1.666509801395399393e+00 -2.766227321419641783e+01 -4.259336109998774589e+01 9.754148867363848785e-01 -1.065269448461242663e-01 3.962090512852609742e-02 -1.888067600262037515e-01
1.546319540129406929e+09 1.673012024757948080e+00 -2.761684315722217065e+01 -4.254709893767363837e+01 9.756427181856492936e-01 -1.055957232427982700e-01 4.084844561986623879e-02 -1.878888878422270148e-01
1.546319540328579903e+09 1.689312809090972589e+00 -2.753353750908140185e+01 -4.244833953654274694e+01 9.764828440292651068e-01 -1.046061721977463721e-01 4.226359989859716781e-02 -1.837187855889124422e-01
1.546319540428883076e+09 1.699936136283106025e+00 -2.749394788972200487e+01 -4.239601516138974802e+01 9.765845692021869473e-01 -1.034185558565611784e-01 4.424702996284000933e-02 -1.833831558246007687e-01
1.546319540528927088e+09 1.710909661653277736e+00 -2.745552960997328995e+01 -4.234212509103192446e+01 9.765278643538560788e-01 -1.020550943063196631e-01 4.550549163632035959e-02 -1.841394528545192144e-01
1.546319540728472948e+09 1.733079512774282849e+00 -2.738474552321170563e+01 -4.223250288958561782e+01 9.759527979000213183e-01 -1.016328408656629878e-01 4.605655204993892859e-02 -1.872583668143195101e-01
